SYMBOL,NAME,PRICE (USD)
BTC,Bitcoin,27925.0154384847856475
ETH,Ethereum,1819.4741011516681003
USDT,Tether,1.0010120131780509
BNB,BNB,328.9849803316245362
USDC,USD Coin,1.0010254575952676
XRP,XRP,0.4628955402086805
ADA,Cardano,0.3836125571665094
DOGE,Dogecoin,0.0782099524642694
STETH,Lido Staked ETH,1727.9628302307559393
MATIC,Polygon,0.9576429983879763
SOL,Solana,21.8186505018359245
DOT,Polkadot,5.6343421105488436
LTC,Litecoin,86.5993249334670589
TRX,TRON,0.0685511823391489
BUSD,Binance USD,1.0004371257894923
SHIB,Shiba Inu,0.0000099109431955
AVAX,Avalanche,16.6826251971950593
DAI,Multi Collateral DAI,1.0015658985525829
WBTC,Wrapped Bitcoin,27980.8832176281368110
LINK,Chainlink,6.8433772877693881
UNI,Uniswap,5.3091833813384280
XMR,Monero,152.6032327575894856
OKB,OKB,45.8776995735398448
ATOM,Cosmos,10.9238135579025021
ETC,Ethereum Classic,19.1110835389768103
XLM,Stellar,0.0925597784630401
ICP,Internet Computer,5.6847265906161322
TUSD,TrueUSD,1.0051959307252071
BCH,Bitcoin Cash,116.2946815950903176
FIL,Filecoin,5.2650571253758996
CRO,Crypto.com Coin,0.0700484172549108
LDO,Lido DAO,1.9598468110443113
NEAR,NEAR Protocol,1.8203211682536889
VET,VeChain,0.0214408333302767
BTCB,Bitcoin BEP2,27911.5451018258026163
QNT,Quant,112.4159204820019252
ALGO,Algorand,0.1767154606769732
GRT,The Graph,0.1306523997176086
FTM,Fantom,0.4092684216139216
EOS,EOS,1.0061532026411227
SAND,The Sandbox,0.5567595704397802
EGLD,MultiversX,41.5402071273177086
MANA,Decentraland,0.5244629079175556
AAVE,Aave,68.4474020652996547
THETA,THETA,0.9766149815979749
STX,Stacks,0.6771562550666393
XTZ,Tezos,0.9789675395639919
RPL,Rocket Pool,46.2859254500375951
CHZ,Chiliz,0.1275527536165769
HBAR,Hedera Hashgraph,0.0593897149390383
AXS,Axie Infinity,7.5642004955414232
FLOW,Flow,0.8409746743800312
CFX,Conflux,0.3012175345462748
RNDR,Render Token,2.2226847279893939
ZEC,Zcash,47.1487683412101177
KCS,KuCoin Token,7.8610815914501092
NEO,Neo,10.2704494596158522
CRV,Curve DAO Token,0.8802297581366348
MKR,Maker,700.9197637423024487
KLAY,Klaytn,0.2182050573739347
BSV,Bitcoin SV,33.2060056144595128
CSPR,Casper,0.0582079521187514
XEC,eCash,0.0000299489453091
INJ,Injective,7.7643626778701837
MINA,Mina,0.6300624042913222
HT,Huobi Token,3.4144380965669736
SNX,Synthetix,2.3414272329401601
DASH,Dash,48.4911890595717374
FXS,Frax Share,7.5535885291587432
MIOTA,IOTA,0.1924594914268676
GT,GateToken,5.1656703834010495
CAKE,PancakeSwap,2.5482885514805536
TWT,Trust Wallet Token,1.1437932030491059
FTT,FTX Token,1.4302899405745318
XDC,XinFin Network,0.0362488914330054
WOO,WOO Network,0.2639195625725852
LRC,Loopring,0.3276295745213878
ZIL,Zilliqa,0.0268718598648169
RUNE,THORChain,1.2962421962676568
KAVA,Kava,0.7739187673711994
CVX,Convex Finance,4.9997018547094624
FEI,Fei Protocol,0.8974258916217699
DYDX,dYdX,2.4370577708018308
NEXO,Nexo,0.6789133242214829
AGIX,SingularityNET,0.3077519571748479
ENJ,Enjin Coin,0.3735487769191297
1INCH,1inch Network,0.4515636013299911
BAT,Basic Attention Token,0.2351043369981489
ROSE,Oasis Network,0.0582800249417338
MASK,Mask Network,4.3522512823906773
XEM,NEM,0.0353532912081667
HOT,Holo,0.0018088918861769
DFI,DeFiChain,0.4466426715422962
COMP,Compound,39.8816210994016560
ANKR,Ankr,0.0296785084234892
AUDIO,Audius,0.2829827518501378
TFUEL,Theta Fuel,0.0482890576478507
QTUM,Qtum,2.7891985689436482
RVN,Ravencoin,0.0231187120009838
BAL,Balancer,5.8403833916146629
